iter	Passed	Remaining
360	1640	2904
361	1644	2899
362	1649	2895
363	1653	2888
364	1657	2883
365	1660	2876
366	1663	2868
367	1666	2862
368	1672	2859
369	1675	2852
370	1677	2844
371	1683	2841
372	1686	2835
373	1690	2829
374	1694	2824
375	1698	2818
376	1700	2810
377	1704	2804
378	1709	2801
379	1712	2794
380	1715	2786
381	1719	2781
382	1722	2775
383	1725	2767
384	1727	2759
385	1731	2754
386	1736	2750
387	1739	2743
388	1742	2736
389	1746	2731
390	1749	2725
391	1752	2717
392	1754	2710
393	1760	2708
394	1764	2702
395	1767	2695
396	1771	2691
397	1774	2684
398	1777	2677
399	1780	2670
400	1784	2665
401	1790	2663
402	1793	2656
403	1797	2651
404	1800	2645
405	1802	2637
406	1805	2630
407	1808	2624
408	1815	2623
409	1817	2616
410	1822	2611
411	1826	2606
412	1828	2599
413	1831	2592
414	1834	2586
415	1840	2584
416	1843	2576
417	1846	2570
418	1850	2565
419	1854	2560
420	1856	2553
421	1859	2546
422	1862	2540
423	1865	2534
424	1868	2527
425	1873	2524
426	1877	2518
427	1879	2511
428	1882	2504
429	1889	2504
430	1891	2497
431	1894	2491
432	1898	2485
433	1904	2483
434	1907	2477
435	1909	2470
436	1913	2465
437	1916	2459
438	1919	2452
439	1922	2446
440	1926	2441
441	1929	2436
442	1932	2429
443	1936	2424
444	1940	2420
445	1943	2414
446	1946	2408
447	1952	2406
448	1955	2399
449	1957	2392
450	1961	2387
451	1965	2383
452	1968	2376
453	1971	2370
454	1974	2365
455	1982	2364
456	1986	2360
457	1990	2355
458	1993	2349
459	1995	2343
460	1999	2337
461	2004	2334
462	2007	2328
463	2010	2322
464	2014	2317
465	2019	2313
466	2022	2308
467	2026	2303
468	2030	2299
469	2033	2292
470	2035	2286
471	2039	2281
472	2044	2277
473	2047	2271
474	2049	2265
475	2054	2261
476	2057	2256
477	2060	2249
478	2062	2243
479	2069	2241
480	2072	2236
481	2075	2230
482	2078	2225
483	2082	2220
484	2085	2214
485	2098	2218
486	2105	2217
487	2110	2213
488	2116	2211
489	2122	2209
490	2132	2210
491	2136	2205
492	2159	2220
493	2165	2217
494	2169	2213
495	2172	2207
496	2174	2200
497	2180	2197
498	2182	2191
499	2185	2185
500	2188	2179
501	2191	2173
502	2195	2168
503	2197	2162
504	2203	2160
505	2207	2154
506	2210	2149
507	2213	2143
508	2218	2139
509	2221	2134
510	2224	2128
511	2227	2123
512	2232	2119
513	2236	2114
514	2239	2108
515	2242	2103
516	2245	2098
517	2248	2092
518	2250	2086
519	2256	2083
520	2260	2078
521	2263	2072
522	2267	2068
523	2270	2062
524	2273	2056
525	2277	2052
526	2280	2046
527	2282	2040
528	2285	2034
529	2289	2030
530	2294	2026
531	2298	2022
532	2302	2017
533	2308	2014
534	2310	2008
535	2313	2002
536	2316	1997
537	2319	1991
538	2321	1985
539	2324	1980
540	2328	1975
541	2332	1971
542	2337	1967
543	2342	1963
544	2344	1957
545	2346	1951
546	2351	1947
547	2356	1943
548	2359	1938
549	2362	1932
550	2366	1928
551	2369	1922
552	2371	1917
553	2374	1911
554	2381	1909
555	2384	1903
556	2386	1898
557	2390	1893
558	2393	1888
559	2396	1882
560	2401	1879
561	2406	1875
562	2408	1869
563	2411	1864
564	2415	1859
565	2418	1854
566	2421	1848
567	2426	1845
568	2429	1840
569	2432	1834
570	2434	1829
571	2441	1826
572	2444	1821
573	2447	1816
574	2452	1812
575	2455	1807
576	2458	1802
577	2460	1796
578	2467	1794
579	2470	1789
580	2474	1784
581	2480	1781
582	2483	1776
583	2486	1771
584	2488	1765
585	2492	1761
586	2497	1756
587	2500	1751
588	2506	1749
589	2510	1744
590	2512	1738
591	2519	1736
592	2522	1731
593	2524	1725
594	2527	1720
595	2531	1715
596	2533	1710
597	2536	1704
598	2542	1702
599	2545	1697
600	2548	1691
601	2550	1686
602	2557	1683
603	2560	1678
604	2562	1673
605	2566	1668
606	2569	1663
607	2572	1658
608	2574	1653
609	2578	1648
610	2581	1643
611	2583	1638
612	2586	1633
613	2590	1628
614	2596	1625
615	2598	1619
616	2601	1615
617	2606	1610
618	2609	1605
619	2611	1600
620	2615	1596
621	2622	1593
622	2626	1589
623	2630	1585
624	2634	1580
625	2636	1574
626	2638	1569
627	2642	1565
628	2646	1560
629	2648	1555
630	2650	1550
631	2654	1545
632	2658	1541
633	2660	1536
634	2664	1531
635	2669	1527
636	2672	1523
637	2675	1517
638	2679	1513
639	2682	1508
640	2684	1503
641	2687	1498
642	2691	1494
643	2695	1490
644	2698	1484
645	2700	1480
646	2704	1475
647	2707	1470
648	2710	1465
649	2714	1461
650	2717	1456
651	2721	1452
652	2723	1447
653	2727	1442
654	2732	1439
655	2735	1434
656	2739	1430
657	2742	1425
658	2745	1420
659	2747	1415
660	2751	1411
661	2758	1408
662	2761	1403
663	2768	1400
664	2770	1395
665	2773	1390
666	2776	1386
667	2781	1382
668	2785	1377
669	2787	1373
670	2791	1368
671	2794	1364
672	2796	1358
673	2799	1354
674	2803	1349
675	2806	1345
676	2809	1340
677	2812	1335
678	2817	1332
679	2821	1327
680	2823	1322
681	2827	1318
682	2831	1314
683	2833	1309
684	2836	1304
685	2839	1299
686	2846	1296
687	2848	1291
688	2851	1287
689	2855	1282
690	2858	1278
691	2860	1273
692	2863	1268
693	2867	1264
694	2870	1259
695	2873	1255
696	2876	1250
697	2882	1246
698	2885	1242
699	2887	1237
700	2891	1233
701	2896	1229
702	2899	1224
703	2901	1220
704	2905	1215
705	2908	1211
706	2910	1206
707	2913	1201
708	2920	1198
709	2923	1194
710	2925	1189
711	2929	1184
712	2934	1181
713	2937	1176
714	2939	1171
715	2943	1167
716	2949	1164
717	2951	1159
718	2955	1154
719	2961	1151
720	2963	1146
721	2968	1142
722	2971	1138
723	2974	1133
724	2976	1129
725	2980	1124
726	2984	1120
727	2986	1115
728	2989	1111
729	2993	1107
730	2998	1103
731	3001	1098
732	3005	1094
733	3009	1090
734	3012	1086
735	3014	1081
736	3018	1077
737	3024	1073
738	3026	1068
739	3029	1064
740	3033	1060
741	3036	1055
742	3039	1051
743	3041	1046
744	3046	1042
745	3050	1038
746	3053	1034
747	3056	1029
748	3061	1025
749	3064	1021
750	3066	1016
751	3071	1013
752	3075	1008
753	3078	1004
754	3081	1000
755	3085	995
756	3087	991
757	3090	986
758	3093	982
759	3099	978
760	3102	974
761	3105	969
762	3109	965
763	3112	961
764	3115	957
765	3118	952
766	3121	948
767	3125	944
768	3127	939
769	3130	935
770	3133	930
771	3139	927
772	3142	922
773	3146	918
774	3150	914
775	3152	910
776	3155	905
777	3159	901
778	3164	897
779	3167	893
780	3171	889
781	3175	885
782	3178	880
783	3181	876
784	3189	873
785	3191	868
786	3194	864
787	3198	860
788	3202	856
789	3204	851
790	3207	847
791	3211	843
792	3217	839
793	3220	835
794	3226	832
795	3229	827
796	3232	823
797	3234	818
798	3240	815
799	3243	810
800	3245	806
801	3249	802
802	3253	798
803	3256	793
804	3259	789
805	3261	785
806	3267	781
807	3270	777
808	3272	772
809	3276	768
810	3280	764
811	3282	760
812	3285	755
813	3288	751
814	3296	748
815	3299	743
816	3302	739
817	3306	735
818	3309	731
819	3312	727
820	3315	722
821	3319	718
822	3322	714
823	3328	710
824	3332	706
825	3334	702
826	3337	698
827	3340	693
828	3344	689
829	3347	685
830	3350	681
831	3353	677
832	3359	673
833	3361	669
834	3364	664
835	3367	660
836	3372	656
837	3411	659
838	3416	655
839	3435	654
840	3441	650
841	3444	646
842	3468	645
843	3471	641
844	3474	637
845	3476	632
846	3480	628
847	3483	624
848	3485	619
849	3488	615
850	3494	611
851	3497	607
852	3499	603
853	3504	599
854	3507	594
855	3510	590
856	3513	586
857	3518	582
858	3522	578
859	3525	573
860	3530	569
861	3534	565
862	3537	561
863	3540	557
864	3546	553
865	3549	549
866	3552	544
867	3555	540
868	3560	536
869	3562	532
870	3565	528
871	3569	523
872	3576	520
873	3578	515
874	3582	511
875	3586	507
876	3588	503
877	3591	499
878	3594	494
879	3601	491
880	3604	486
881	3609	482
882	3613	478
883	3615	474
884	3618	470
885	3622	466
886	3628	462
887	3631	458
888	3635	453
889	3639	449
890	3642	445
891	3645	441
892	3649	437
893	3652	433
894	3657	429
895	3661	424
896	3664	420
897	3667	416
898	3671	412
899	3676	408
900	3679	404
901	3682	400
902	3686	395
903	3688	391
904	3691	387
905	3693	383
906	3697	379
907	3700	374
908	3703	370
909	3706	366
910	3710	362
911	3713	358
912	3715	354
913	3718	349
914	3724	345
915	3726	341
916	3729	337
917	3732	333
918	3738	329
919	3741	325
920	3743	321
921	3747	317
922	3751	312
923	3753	308
924	3756	304
925	3760	300
926	3763	296
927	3766	292
928	3769	288
929	3774	284
930	3778	280
931	3781	275
932	3786	271
933	3793	268
934	3797	264
935	3802	259
936	3804	255
937	3807	251
938	3814	247
939	3816	243
940	3819	239
941	3823	235
942	3826	231
943	3829	227
944	3831	223
945	3835	218
946	3841	215
947	3844	210
948	3847	206
949	3851	202
950	3853	198
951	3856	194
952	3859	190
953	3865	186
954	3867	182
955	3871	178
956	3874	174
957	3878	170
958	3881	165
959	3884	161
960	3887	157
961	3893	153
962	3896	149
963	3899	145
964	3904	141
965	3906	137
966	3909	133
967	3913	129
968	3919	125
969	3921	121
970	3924	117
971	3928	113
972	3931	109
973	3933	105
974	3937	100
975	3941	96
976	3943	92
977	3946	88
978	3949	84
979	3955	80
980	3958	76
981	3960	72
982	3965	68
983	3968	64
984	3971	60
985	3973	56
986	3977	52
987	3984	48
988	3987	44
989	3991	40
990	3994	36
991	3996	32
992	3999	28
993	4003	24
994	4009	20
995	4012	16
996	4015	12
997	4018	8
998	4021	4
999	4023	0
